passenger_id,survived,pclass,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked
1,0,2,"Master Ashley Scott",male,21.6,0,1,A48566,9.27,F16,Cherbourg
2,1,3,"Miss Donald Scott",female,1.4,0,1,C50189,10.99,,Southampton
3,1,2,"Miss Linda Wright",female,25.6,1,0,STON78765,15.15,,Southampton
4,1,2,"Miss Joseph White",female,46.2,0,2,STON48290,20.88,,Southampton
5,1,3,"Mr. James Torres",male,10.5,3,0,CA72616,8.49,,Southampton
6,0,3,"Mr. Andrew Brown",male,39.6,0,0,STON64548,0,,Queenstown
7,0,3,"Master Mark Lewis",male,10.6,1,0,S23006,5.76,,Southampton
8,1,2,"Miss Kevin Garcia",female,31.5,0,0,STON71592,22.81,D19,Queenstown
9,0,3,"Mr. Amanda Anderson",male,30.3,1,2,PC25043,2.55,,Queenstown
10,0,2,"Mrs. John Brown",female,20.8,1,0,A71433,32.44,,Queenstown
11,0,2,"Dr. Paul Young",male,5.0,1,1,A21970,10.3,F37,Queenstown
12,0,2,"Dr. Robert Lopez",male,10.9,0,1,S74451,5.49,,Cherbourg
13,0,3,"Miss Christopher Miller",female,13.2,0,2,CA82102,13.4,F21,Cherbourg
14,0,1,"Master Steven Smith",male,26.0,0,0,CA75338,71.81,,Southampton
15,0,2,"Dr. William Jackson",male,26.7,3,1,B30758,16.14,,Southampton
16,1,3,"Mr. Joseph Davis",male,47.4,0,1,STON45838,13.08,,Cherbourg
17,0,2,"Master Emily Martinez",male,43.7,3,2,C64387,15.51,,Queenstown
18,0,1,"Miss George Martin",female,22.6,2,0,PC55236,58.79,E25,Cherbourg
19,0,2,"Mrs. Andrew Harris",female,29.7,1,1,CA59968,17.64,,Queenstown
20,1,1,"Master Robert Rodriguez",male,17.6,2,0,STON69890,47.49,B27,Queenstown
21,0,1,"Master Thomas Perez",male,34.1,0,1,STON59808,87.37,,Queenstown
22,1,3,"Dr. Robert Flores",male,0.5,3,1,PC22903,1.39,,Queenstown
23,1,1,"Master David Martin",male,58.5,0,0,B42007,95.25,E44,Southampton
24,0,2,"Mr. Michelle Harris",male,30.8,0,0,C70236,37.64,D30,Cherbourg
25,1,3,"Mrs. John Lewis",female,38.5,3,1,PC49599,7.74,,Cherbourg
26,1,3,"Mr. Jessica Harris",male,0,0,2,S61879,2.32,,Queenstown
27,1,1,"Dr. Deborah Young",male,55.0,0,1,B93442,50.29,C44,Queenstown
28,1,1,"Mr. Kenneth Williams",male,23.3,1,0,C52823,94.35,,Southampton
29,0,1,"Dr. Lisa King",male,37.0,3,2,CA48684,97.81,,Cherbourg
30,1,1,"Master John Martinez",male,40.8,1,0,CA83048,124.53,D1,Cherbourg
